Date;Annee;Fournisseurs;Age_recep;Colo;Brix;Acidite;Taches;Note_recep;Com_rec;Hauteur;Diametre;Forme;Poids;Productivite;Rendement;delais_transf;Age_7j;Note_7j;Conf_7j;Colo_7j;Homo_7j;Carac_7j;Age_8j;Note_8j;Conf_8j;Colo_8j;Homo_8j;Carac_8j
06/06/2020;2020;KE;28;2;16;;A;4;D;17;13;1,31;2099;103;0,46;3;38;14;C;2;OUI;lev;39;;;;;
10/06/2020;2020;KE;25;2;15;;A;4;E;20;13,5;1,48;2476;98,3;0,42;2;34;12;C;2,5;NON;bru;35;;;;;
10/06/2020;2020;KE;25;2;14,6;;A;4;E;17,5;13;1,35;1877;115,5;0,45;2;34;12;C;1,5;NON;bru;35;;;;;
11/06/2020;2020;KE;33;2;15;;A;3;E;19;13;1,46;2130;97,7;0,43;1;41;12;C;1,5;NON;bp;42;;;;;
11/06/2020;2020;KE;33;2;17;;A;5;D;19;13;1,46;2174;97,7;0,43;1;41;12;C;1,5;NON;bp;42;;;;;
13/06/2020;2020;MI;28;2;15,6;;A;4;E;19,5;13;1,5;1867;71,9;0,41;4;39;2;NC;2;OUI;lev;40;;;;;
13/06/2020;2020;MI;28;2;15,4;;A;4;E;19;14,3;1,33;1900;156;0,44;4;39;2;NC;2;OUI;lev;40;;;;;
13/06/2020;2020;MI;28;2;15,4;;A;4;E;19;12,5;1,52;1884;156;0,44;4;39;2;NC;2;OUI;lev;40;;;;;
18/06/2020;2020;MI;26;2;15;;A;4;E;15;11,5;1,3;1647;93,2;0,51;7;40;9;NC;2;OUI;lev;41;;;;;
18/06/2020;2020;MI;26;2;15,5;;A;4;D;14,5;12,5;1,16;1548;93,2;0,51;7;40;9;NC;2;OUI;lev;41;;;;;
24/06/2020;2020;KE;25;2;13;;A;4;D;18,5;12;1,54;2267;203,9;0,48;3;35;13;C;2;OUI;bru;36;;;;;
24/06/2020;2020;KE;25;2;14;;P;4;E;17;12,5;1,36;1998;203,9;0,48;3;35;13;C;2;OUI;bru;36;;;;;
25/06/2020;2020;MI;23;2;12,6;;A;4;E;15,6;12;1,3;1636;128,2;0,43;5;35;2;NC;2;OUI;lev;36;;;;;
25/06/2020;2020;MI;23;2;13,8;;A;4;E;16,5;12,2;1,35;1709;128,2;0,43;5;35;2;NC;2;OUI;lev;36;;;;;
09/07/2020;2020;MI;21;2;13;;A;4;D;18,4;12,5;1,47;1953;123,4;0,49;1;29;16;TC;2;OUI;bp;30;;;;;
09/07/2020;2020;MI;21;2;15,8;;A;4;E;17;11,5;1,48;1695;123,4;0,49;1;29;16;TC;2;OUI;bp;30;;;;;
10/07/2020;2020;KE;27;2;18;;A;4;E;17,5;12;1,46;2078;135,2;0,48;0;34;12;C;1,5;NON;lev;35;;;;;
16/07/2020;2020;MI;21;2;13;;A;4;D;16;12;1,33;1765;142,5;0,49;5;33;12;C;2;OUI;lev;34;;;;;
16/07/2020;2020;MI;21;2;13;;A;4;E;16;12;1,33;1767;142,5;0,49;5;33;12;C;2;OUI;lev;34;;;;;
30/07/2020;2020;MI;22;2;12;;A;3;A;18;12;1,5;1707;72;0,5;5;34;12;C;1,5;OUI;lev;35;;;;;
30/07/2020;2020;MI;22;2;15;;A;4;D;17;12;1,42;1836;72;0,5;5;34;12;C;1,5;OUI;lev;35;;;;;
23/05/2020;2020;KE;25;2,5;16;;A;5;D;18;13;1,38;2294;105;0,28;4;36;11;NC;2;OUI;lev;37;;;;;
10/06/2020;2020;KE;25;2,5;15,3;;A;3;D;19;13,5;1,41;2225;121;0,55;2;34;12;C;1;OUI;bp;35;;;;;
23/05/2020;2020;KE;26;3;16;;P;4;D;16,5;13;1,27;2038;65;0,36;3;36;10;NC;2;OUI;lev;37;;;;;
